model,K_m,max_loo_fpr,mean_loo_fpr,max_33cv_fpr,mean_33cv_fpr,n_fm_cells
Nemotron-3-Nano-30B-A3B-BF16,0.1,0.0625,0.010416666666666666,0.020833333333333332,0.010416666666666668,16
Nemotron-3-Super-120B-A12B-BF16,6.0,0.0625,0.010416666666666666,0.125,0.03958333333333333,16
deepseek-v3.1,4.5,0.125,0.020833333333333332,0.16666666666666666,0.04166666666666667,16
gpt-3.5-turbo,8.0,0.0625,0.010416666666666666,0.10416666666666667,0.03749999999999999,16
gpt-4.1,0.1,0.0,0.0,0.0,0.0,16
gpt-4.1-mini,0.1,0.0,0.0,0.0,0.0,16
gpt-4.1-nano,5.0,0.0625,0.020833333333333332,0.3125,0.04166666666666667,16
gpt-4o-mini,0.1,0.0625,0.020833333333333332,0.0625,0.02708333333333333,16
llama-3.1-8b,0.1,0.125,0.052083333333333336,0.125,0.04583333333333334,16
llama-3.3-70b,0.1,0.0625,0.010416666666666666,0.020833333333333332,0.010416666666666668,16
qwen3-30b-a3b,0.1,0.0,0.0,0.0,0.0,16
qwen3-32b,0.1,0.0,0.0,0.0,0.0,16
qwen3-4b,2.5,0.125,0.03125,0.125,0.03958333333333333,16
qwen3-8b,3.0,0.0625,0.020833333333333332,0.16666666666666666,0.03333333333333333,16
qwen3.5-4b,6.0,0.1875,0.03125,0.14583333333333334,0.044791666666666674,16
qwen3.5-9b-nr,3.0,0.0625,0.010416666666666666,0.25,0.04791666666666667,16
qwen3.6-27b,3.5,0.0625,0.020833333333333332,0.4375,0.04479166666666667,16
